DateOccured,MonthReportedtoMSHP,Count,Crime,District,Neighborhood,XCoord,YCoord,TMAX  ,TMIN  
2012-06-13,2012-09,1,101000,9,38,889815.5,1022041.0,278.0,144.0
2012-06-14,2012-09,1,264100,3,15,889421.3,1004653.0,311.0,161.0
2012-06-14,2012-09,1,51312,3,18,898737.3,1002540.0,311.0,161.0
2012-06-15,2012-09,1,264100,1,2,888115.9,985372.3,339.0,194.0
2012-06-16,2012-09,1,121000,3,21,902707.6,1010535.0,356.0,217.0
2012-06-16,2012-09,1,266999,3,21,902707.6,1010535.0,356.0,217.0
2012-06-17,2012-09,1,266999,8,55,890685.2,1034532.0,328.0,211.0
2012-06-18,2012-09,1,115100,9,59,898267.1,1024577.0,350.0,250.0
2012-06-19,2012-09,1,65701,9,39,887817.9,1016664.0,339.0,250.0
2012-06-20,2012-09,1,64701,4,0,0.0,0.0,350.0,239.0
2012-06-22,2012-09,1,115100,9,28,891893.4,1014228.0,300.0,194.0
2012-06-23,2012-09,1,67601,3,24,897628.4,1009479.0,311.0,189.0
2012-06-25,2012-09,1,69602,1,1,0.0,0.0,322.0,206.0
2012-06-25,2012-09,-1,65701,1,1,0.0,0.0,322.0,206.0
2012-06-27,2012-09,1,264100,3,23,899743.7,1010023.0,372.0,189.0
2012-06-29,2012-09,1,69702,9,28,890373.1,1015072.0,411.0,250.0
2012-06-30,2012-09,1,266999,4,61,904775.8,1021367.0,406.0,256.0
2012-07-01,2012-09,1,65701,5,60,904173.3,1027127.0,389.0,261.0
2012-07-01,2012-09,1,115400,6,74,896454.3,1050395.0,389.0,261.0
2012-07-01,2012-09,1,91113,9,38,889330.6,1021002.0,389.0,261.0
2012-07-01,2012-09,1,142320,2,13,882564.6,1008801.0,389.0,261.0
2012-07-01,2012-09,1,63701,3,19,898162.7,1002525.0,389.0,261.0
2012-07-02,2012-09,1,117000,9,38,888580.9,1025734.0,378.0,250.0
2012-07-04,2012-09,1,67701,2,9,877347.9,1006670.0,406.0,283.0
2012-07-04,2012-09,1,266999,4,61,904839.7,1022954.0,406.0,283.0
2012-07-04,2012-09,1,266999,4,34,905859.9,1013430.0,406.0,283.0
2012-07-05,2012-09,1,266999,4,33,904203.9,1013767.0,406.0,283.0
2012-07-05,2012-09,-1,265321,4,35,0.0,0.0,406.0,283.0
2012-07-05,2012-09,1,115400,3,30,897478.8,1007353.0,406.0,283.0
2012-07-06,2012-09,1,71013,4,35,908187.4,1018534.0,411.0,283.0
2012-07-06,2012-09,-1,31421,1,2,0.0,0.0,411.0,283.0
2012-07-06,2012-09,1,111120,2,13,882994.4,1011170.0,411.0,283.0
2012-07-07,2012-09,1,264100,3,30,898394.6,1005942.0,417.0,283.0
2012-07-07,2012-09,1,67701,1,17,896678.0,999852.3,417.0,283.0
2012-07-09,2012-09,1,263299,5,66,0.0,0.0,333.0,233.0
2012-07-09,2012-09,-1,263422,5,66,0.0,0.0,333.0,233.0
2012-07-10,2012-09,1,142320,4,35,906343.9,1016785.0,350.0,217.0
2012-07-12,2012-09,1,266999,4,61,906256.9,1022439.0,344.0,228.0
2012-07-12,2012-09,1,115400,3,23,899672.9,1010469.0,344.0,228.0
2012-07-13,2012-09,1,52322,4,35,906865.7,1015900.0,350.0,233.0
2012-07-14,2012-09,1,117000,4,36,902599.4,1020249.0,333.0,244.0
2012-07-14,2012-09,1,266999,4,61,906237.2,1022347.0,333.0,244.0
2012-07-15,2012-09,1,21000,4,62,908656.6,1021197.0,356.0,233.0
2012-07-17,2012-09,1,112010,0,0,0.0,0.0,394.0,272.0
2012-07-17,2012-09,-1,51312,7,50,0.0,0.0,394.0,272.0
2012-07-17,2012-09,1,266999,4,35,907619.9,1017799.0,394.0,272.0
2012-07-18,2012-09,1,71030,3,15,885459.8,1004870.0,411.0,283.0
2012-07-18,2012-09,1,266999,4,61,905421.5,1022269.0,411.0,283.0
2012-07-19,2012-09,1,266999,2,10,877121.1,1013930.0,400.0,278.0
2012-07-19,2012-09,1,266999,4,34,905651.8,1013682.0,400.0,278.0
2012-07-20,2012-09,1,52322,4,35,906865.7,1015900.0,300.0,239.0
2012-07-20,2012-09,1,266999,4,61,905421.5,1022269.0,300.0,239.0
2012-07-20,2012-09,1,51322,9,38,0.0,0.0,300.0,239.0
2012-07-20,2012-09,-1,66701,9,38,0.0,0.0,300.0,239.0
2012-07-20,2012-09,1,115400,7,48,0.0,0.0,300.0,239.0
2012-07-22,2012-09,1,115400,0,0,0.0,0.0,372.0,256.0
2012-07-22,2012-09,1,266999,4,61,906108.3,1021867.0,372.0,256.0
2012-07-22,2012-09,1,91113,4,35,910439.8,1019433.0,372.0,256.0
2012-07-22,2012-09,1,266999,4,61,906256.9,1022439.0,372.0,256.0
2012-07-23,2012-09,1,69602,5,64,0.0,0.0,411.0,278.0
2012-07-23,2012-09,1,115400,6,68,898265.1,1036234.0,411.0,278.0
2012-07-23,2012-09,1,266999,4,61,904461.6,1021517.0,411.0,278.0
